NumberOfFlows,Deadline,DCT,RealFlow
120,200.000us,0.643667,0.317467
120,300.000us,0.763467,0.4066
120,400.000us,0.841867,0.496467
120,500.000us,0.904667,0.5484
120,600.000us,0.942333,0.598
120,700.000us,0.9746,0.642467
120,800.000us,0.986867,0.682733
120,900.000us,0.996933,0.718133
120,1.000ms,0.999667,0.745267
120,1.100ms,1,0.772467
120,1.200ms,1,0.800467
120,1.300ms,1,0.833867
120,1.400ms,1,0.857467
120,1.500ms,1,0.881067
120,1.600ms,1,0.896133
120,1.700ms,1,0.913533
120,1.800ms,1,0.925467
120,1.900ms,1,0.936933
120,2.000ms,1,0.946733
120,2.100ms,1,0.9574
120,2.200ms,1,0.9652
120,2.300ms,1,0.976067
120,2.400ms,1,0.979667
120,2.500ms,1,0.9876
120,2.600ms,1,0.9896
120,2.700ms,1,0.992133
120,2.800ms,1,0.993733
120,2.900ms,1,0.996067
120,3.000ms,1,0.997467
130,100.000us,0.440554,0.161723
130,200.000us,0.626462,0.306215
130,300.000us,0.749354,0.393662
130,400.000us,0.823877,0.475446
130,500.000us,0.885846,0.528985
130,600.000us,0.931938,0.574646
130,700.000us,0.959138,0.621662
130,800.000us,0.982462,0.654154
130,900.000us,0.993292,0.688246
130,1.000ms,0.998031,0.720985
130,1.100ms,0.999754,0.750831
130,1.200ms,1,0.779385
130,1.300ms,1,0.800431
130,1.400ms,1,0.830338
130,1.500ms,1,0.854892
130,1.600ms,1,0.876369
130,1.700ms,1,0.894831
130,1.800ms,1,0.9056
130,1.900ms,1,0.919754
130,2.000ms,1,0.932123
130,2.100ms,1,0.938092
130,2.200ms,1,0.950462
130,2.300ms,1,0.958277
130,2.400ms,1,0.965969
130,2.500ms,1,0.9736
130,2.600ms,1,0.980431
130,2.700ms,1,0.985662
130,2.800ms,1,0.990092
130,2.900ms,1,0.993169
130,3.000ms,1,0.992923
140,100.000us,0.424286,0.151829
140,200.000us,0.607486,0.2896
140,300.000us,0.726171,0.371143
140,400.000us,0.799371,0.4576
140,500.000us,0.874286,0.513029
140,600.000us,0.915543,0.560057
140,700.000us,0.946971,0.6004
140,800.000us,0.970857,0.641657
140,900.000us,0.9868,0.668514
140,1.000ms,0.994514,0.696286
140,1.100ms,0.999029,0.727771
140,1.200ms,0.999829,0.754
140,1.300ms,1,0.779143
140,1.400ms,1,0.802857
140,1.500ms,1,0.830514
140,1.600ms,1,0.852629
140,1.700ms,1,0.866514
140,1.800ms,1,0.888686
140,1.900ms,1,0.900629
140,2.000ms,1,0.917029
140,2.100ms,1,0.925314
140,2.200ms,1,0.934857
140,2.300ms,1,0.945943
140,2.400ms,1,0.954229
140,2.500ms,1,0.963886
140,2.600ms,1,0.969543
140,2.700ms,1,0.974971
140,2.800ms,1,0.981371
140,2.900ms,1,0.984343
140,3.000ms,1,0.989429
150,100.000us,0.418613,0.140267
150,200.000us,0.5952,0.277173
150,300.000us,0.7056,0.358187
150,400.000us,0.777653,0.43888
150,500.000us,0.860053,0.498613
150,600.000us,0.90416,0.544533
150,700.000us,0.9352,0.582133
150,800.000us,0.961813,0.62096
150,900.000us,0.982187,0.652853
150,1.000ms,0.992267,0.67664
150,1.100ms,0.995787,0.70976
150,1.200ms,0.999147,0.733973
150,1.300ms,1,0.759413
150,1.400ms,1,0.783893
150,1.500ms,1,0.804907
150,1.600ms,1,0.8256
150,1.700ms,1,0.849867
150,1.800ms,1,0.86848
150,1.900ms,1,0.88128
150,2.000ms,1,0.900853
150,2.100ms,1,0.91104
150,2.200ms,1,0.924
150,2.300ms,1,0.9296
150,2.400ms,1,0.943307
150,2.500ms,1,0.94624
150,2.600ms,1,0.955413
150,2.700ms,1,0.963253
150,2.800ms,1,0.970773
150,2.900ms,1,0.974827
150,3.000ms,1,0.981813
160,100.000us,0.4086,0.13195
160,200.000us,0.57985,0.2631
160,300.000us,0.6915,0.34235
160,400.000us,0.76865,0.42065
160,500.000us,0.8367,0.4831
160,600.000us,0.8878,0.5271
160,700.000us,0.92105,0.5663
160,800.000us,0.95155,0.5972
160,900.000us,0.97425,0.6321
160,1.000ms,0.9867,0.6659
160,1.100ms,0.9938,0.6905
160,1.200ms,0.99725,0.718
160,1.300ms,0.9993,0.73975
160,1.400ms,1,0.76435
160,1.500ms,1,0.7857
160,1.600ms,1,0.805
160,1.700ms,1,0.8301
160,1.800ms,1,0.8465
160,1.900ms,1,0.86385
160,2.000ms,1,0.8799
160,2.100ms,1,0.89455
160,2.200ms,1,0.9061
160,2.300ms,1,0.92245
160,2.400ms,1,0.9272
160,2.500ms,1,0.93285
160,2.600ms,1,0.94375
160,2.700ms,1,0.95095
160,2.800ms,1,0.9582
160,2.900ms,1,0.96665
160,3.000ms,1,0.97205
170,100.000us,0.403859,0.122259
170,200.000us,0.571765,0.249929
170,300.000us,0.683765,0.328471
170,400.000us,0.750212,0.403906
170,500.000us,0.824094,0.465835
170,600.000us,0.875576,0.510494
170,700.000us,0.915012,0.550353
170,800.000us,0.940094,0.586306
170,900.000us,0.962776,0.620753
170,1.000ms,0.9792,0.646447
170,1.100ms,0.990118,0.673882
170,1.200ms,0.996094,0.702494
170,1.300ms,0.998776,0.727247
170,1.400ms,0.999953,0.742259
170,1.500ms,1,0.7648
170,1.600ms,1,0.786682
170,1.700ms,1,0.808282
170,1.800ms,1,0.825412
170,1.900ms,1,0.846024
170,2.000ms,1,0.858635
170,2.100ms,1,0.876847
170,2.200ms,1,0.8928
170,2.300ms,1,0.901365
170,2.400ms,1,0.916376
170,2.500ms,1,0.921271
170,2.600ms,1,0.932753
170,2.700ms,1,0.940188
170,2.800ms,1,0.948094
170,2.900ms,1,0.951388
170,3.000ms,1,0.958918
180,100.000us,0.400444,0.1184
180,200.000us,0.563333,0.235244
180,300.000us,0.671333,0.3164
180,400.000us,0.741644,0.391867
180,500.000us,0.8108,0.446
180,600.000us,0.863022,0.498578
180,700.000us,0.8976,0.5412
180,800.000us,0.928756,0.5724
180,900.000us,0.953911,0.600578
180,1.000ms,0.971422,0.631911
180,1.100ms,0.984178,0.656489
180,1.200ms,0.993422,0.682133
180,1.300ms,0.996889,0.709378
180,1.400ms,0.998711,0.7288
180,1.500ms,0.999867,0.753289
180,1.600ms,1,0.767556
